Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
LeBron James,PF,82,82,36.9,8.6,9.1,1.4,0.9,4.2,27.5,33285709
Mike James,PG,36,10,19.1,2.5,3.5,0.8,0.2,1.4,9.3,164802
Al Jefferson,C,36,1,13.4,4,0.8,0.4,0.6,0.6,7,9769821
Richard Jefferson,SF,20,0,8.2,0.9,0.8,0.1,0.1,0.3,1.5,4828652
Brandon Jennings,PG,14,0,14.6,2.2,3.1,0.4,0.3,1.3,5.2,380830
Jonas Jerebko,PF,74,19,15.3,3.3,0.6,0.3,0.2,0.4,5.8,4000000
Amir Johnson,C,74,18,15.8,4.5,1.6,0.6,0.6,0.7,4.6,11000000
Brice Johnson,PF,18,0,5.4,1.7,0.1,0.5,0.3,0.3,2.4,1331160
Dakari Johnson,C,31,6,5.2,1.1,0.3,0.2,0.3,0.1,1.8,815615
James Johnson,PF,73,41,26.6,4.9,3.8,1,0.7,1.9,10.8,13734000
Joe Johnson,SF,55,4,21.9,3.1,1.5,0.3,0.1,0.9,6.8,10254904
Omari Johnson,PF,4,0,18.8,2.8,1.8,0.5,0,0.8,5.5,170495
Stanley Johnson,SF,69,50,27.4,3.7,1.6,1.4,0.2,1.1,8.7,3097800
Tyler Johnson,PG,72,39,28.5,3.4,2.3,0.8,0.5,1.1,11.7,5821260
Wesley Johnson,SF,74,40,20.1,2.9,0.8,1,0.8,0.7,5.4,5881260
Damian Jones,C,15,0,5.9,0.9,0.1,0.1,0.2,0.3,1.7,1312611
Jalen Jones,SF,16,0,11.3,2.4,0.3,0.3,0.1,0.4,4.6,77250
Tyus Jones,PG,82,11,17.9,1.6,2.8,1.2,0.1,0.7,5.1,1471382
DeAndre Jordan,C,77,77,31.5,15.2,1.5,0.5,0.9,1.8,12,22642350
Cory Joseph,PG,82,17,27,3.2,3.2,1,0.2,1.1,7.9,7630000
Frank Kaminsky,PF,79,4,23.2,3.6,1.6,0.5,0.2,0.8,11.1,2847600
Enes Kanter,C,71,71,25.8,11,1.5,0.5,0.5,1.7,14.1,17884176
Luke Kennard,SG,73,9,20,2.4,1.7,0.6,0.2,0.9,7.6,2759280
Michael Kidd-Gilchrist,SF,74,74,25,4.1,1,0.7,0.4,0.7,9.2,13000000
Sean Kilpatrick,SG,52,1,12.3,1.7,0.9,0.3,0.1,0.7,6.3,4774445
Maxi Kleber,PF,72,36,16.8,3.3,0.7,0.4,0.7,0.4,5.4,815615
Furkan Korkmaz,SG,14,0,5.7,0.8,0.3,0.1,0.1,0.1,1.6,1465920
Luke Kornet,PF,20,1,16.3,3.2,1.3,0.3,0.8,0.6,6.7,77250
Kyle Korver,SG,73,4,21.6,2.3,1.2,0.4,0.4,0.8,9.2,7000000
Kosta Koufos,C,71,13,19.6,6.6,1.2,0.7,0.5,0.7,6.7,8393000
Kyle Kuzma,PF,77,37,31.2,6.3,1.8,0.6,0.4,1.8,16.1,1423560
Mindaugas Kuzminskas,SF,1,0,2,0,0,0,0,0,0,3028410
Jeremy Lamb,SG,80,18,24.6,4.1,2.3,0.8,0.4,1.2,12.9,7000000
Shane Larkin,PG,54,2,14.4,1.7,1.8,0.5,0,0.6,4.3,1524305
Joffrey Lauvergne,C,55,1,9.7,3.1,0.7,0.2,0.1,0.6,4.1,1524305
Zach LaVine,SG,24,24,27.3,3.9,3,1,0.2,1.8,16.7,3202217
Jake Layman,SF,35,1,4.6,0.5,0.3,0.2,0.1,0.1,1,1312611
Courtney Lee,SG,76,69,30.4,2.9,2.4,1.1,0.2,1.1,12,11747890
Damion Lee,SG,15,11,26.9,4.7,1.9,1.3,0.1,0.9,10.7,138239
Alex Len,C,69,13,20.2,7.5,1.2,0.4,0.9,1.1,8.5,4187599
Kawhi Leonard,SF,9,9,23.3,4.7,2.3,2,1,1.8,16.2,18868625
Meyers Leonard,C,33,2,7.7,2.1,0.5,0.2,0,0.3,3.4,9904495
Jon Leuer,PF,8,0,17,4,0.6,0.1,0.4,0.9,5.4,10497319
Caris LeVert,SF,71,10,26.3,3.7,4.2,1.2,0.3,2.2,12.1,1632480
DeAndre Liggins,SG,58,4,12.5,1.3,0.8,0.6,0.2,0.3,1.7,1505942
Damian Lillard,PG,73,73,36.6,4.5,6.6,1.1,0.4,2.8,26.9,26153057
Jeremy Lin,PG,1,1,25,0,4,0,0,3,18,12000000
