Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Ed Davis,PF,46,12,17.2,5.3,0.6,0.3,0.5,0.8,4.3,6666667
Elfrid Payton,PG,82,58,29.4,4.7,6.5,1.1,0.5,2.2,12.8,2613600
Emmanuel Mudiay,PG,55,41,25.6,3.2,3.9,0.7,0.2,2.2,11,3241800
Enes Kanter,C,72,0,21.3,6.7,0.9,0.4,0.5,1.7,14.3,17145838
Eric Bledsoe,PG,66,66,33,4.8,6.3,1.4,0.5,3.4,21.1,14000000
Eric Gordon,SG,75,15,31,2.7,2.5,0.6,0.5,1.6,16.2,12385665
E'Twaun Moore,SG,73,22,24.9,2.1,2.2,0.7,0.4,0.8,9.6,8801363
Evan Fournier,SG,68,66,32.9,3.1,3,1,0.1,2.1,17.2,17000000
Evan Turner,SF,65,12,25.5,3.8,3.2,0.8,0.4,1.5,9,16393443
Frank Kaminsky,C,75,16,26.1,4.5,2.2,0.6,0.5,1,11.7,2730000
Fred VanVleet,PG,37,0,7.9,1.1,0.9,0.4,0.1,0.4,2.9,543471
Garrett Temple,SG,65,21,26.6,2.8,2.6,1.3,0.4,1.2,7.8,8000000
Gary Harris,SG,57,56,31.3,3.1,2.9,1.2,0.1,1.3,14.9,1655880
Gary Neal,SG,2,0,9,0.5,0.5,0,0,0,2,72193
Gary Payton II,PG,6,0,16.5,2,2.2,0.5,0.7,1.7,3.3,578636
George Hill,PG,49,49,31.5,3.4,4.2,1,0.2,1.7,16.9,8000000
Georges Niang,PF,23,0,4,0.7,0.2,0.1,0,0.2,0.9,650000
Georgios Papagiannis,C,22,0,16.1,3.9,0.9,0.1,0.8,1.1,5.6,2202240
Gerald Green,SF,47,0,11.4,1.8,0.7,0.2,0.1,0.5,5.6,1410598
Gerald Henderson,SG,72,41,23.2,2.6,1.6,0.6,0.2,0.9,9.2,9000000
Giannis Antetokounmpo,SF,80,80,35.6,8.8,5.4,1.6,1.9,2.9,22.9,2995420
Glenn Robinson III,SF,69,27,20.7,3.6,0.7,0.6,0.3,0.5,6.1,1050500
Gordon Hayward,SF,73,73,34.5,5.4,3.5,1,0.3,1.9,21.9,16073140
Gorgui Dieng,PF,82,82,32.4,7.9,1.9,1.1,1.2,1.3,10,2348782
Greg Monroe,C,81,0,22.5,6.6,2.3,1.1,0.5,1.7,11.7,17145838
Harrison Barnes,PF,79,79,35.5,5,1.5,0.8,0.2,1.3,19.2,22116750
Hassan Whiteside,C,77,77,32.6,14.1,0.7,0.7,2.1,2,17,22116750
Henry Ellenson,PF,19,2,7.7,2.2,0.4,0.1,0.1,0.7,3.2,1704120
Hollis Thompson,SG,40,9,18.8,2.8,0.9,0.5,0.2,0.3,5.1,1131040
Ian Clark,SG,77,0,14.8,1.6,1.2,0.5,0.1,0.7,6.8,1015696
Ian Mahinmi,C,31,0,17.9,4.8,0.6,1.1,0.8,1.1,5.6,16000000
Iman Shumpert,SG,76,31,25.5,2.9,1.4,0.8,0.4,1,7.5,9662922
Isaiah Canaan,SG,39,0,15.2,1.3,0.9,0.6,0,0.5,4.6,1015696
Isaiah Taylor,PG,4,0,13,0.8,0.8,0.3,0.3,0,0.8,305000
Isaiah Thomas,PG,76,76,33.8,2.7,5.9,0.9,0.2,2.8,28.9,6587131
Isaiah Whitehead,PG,73,26,22.5,2.5,2.6,0.6,0.5,1.9,7.4,1074145
Ivica Zubac,C,38,11,16,4.2,0.8,0.4,0.9,0.8,7.5,1034865
Jabari Parker,PF,51,50,33.9,6.2,2.8,1,0.4,1.8,20.1,5374320
Jae Crowder,SF,72,72,32.4,5.8,2.2,1,0.3,1.1,13.9,6286408
Jahlil Okafor,C,50,33,22.7,4.8,1.2,0.4,1,1.8,11.8,4788840
Jake Layman,SF,35,1,7.1,0.7,0.3,0.3,0.1,0.3,2.2,600000
Jakob Poeltl,C,54,4,11.6,3.1,0.2,0.3,0.4,0.5,3.1,2703960
Jamal Crawford,SG,82,1,26.3,1.6,2.6,0.7,0.2,1.6,12.3,13253012
Jamal Murray,SG,82,10,21.5,2.6,2.1,0.6,0.3,1.4,9.9,3210840
Jameer Nelson,PG,75,39,27.3,2.6,5.1,0.7,0.1,1.7,9.2,4540525
James Ennis,SF,64,28,23.5,4,1,0.7,0.3,0.9,6.7,2898000
James Harden,PG,81,81,36.4,8.1,11.2,1.5,0.5,5.7,29.1,26540100
James Johnson,PF,76,5,27.4,4.9,3.6,1,1.1,2.3,12.8,4000000
James Jones,SF,48,2,7.9,0.8,0.3,0.1,0.2,0.2,2.8,1551659
James Michael McAdoo,PF,52,2,8.8,1.8,0.3,0.3,0.6,0.4,2.8,980431
James Young,SG,29,0,7.6,0.9,0.1,0.3,0.1,0.1,2.3,1825200
JaMychal Green,PF,77,75,27.3,7.1,1.1,0.6,0.4,1.2,8.9,980431
Jared Dudley,PF,64,7,21.3,3.5,1.9,0.7,0.3,1.1,6.8,10470000
Jared Sullinger,PF,11,1,10.7,2.5,0.3,0.4,0.1,0.4,3.4,5628000
Jarell Eddie,SF,5,0,12.4,1.4,0,0.2,0,0.2,4.8,277898
Jarell Martin,PF,42,3,13.3,3.9,0.2,0.4,0.2,0.7,3.9,1286160
Jarnell Stokes,C,2,0,3.5,1,1,0.5,0,0,1.5,150000
Jarrett Jack,PG,2,0,16.5,0,2.5,1,0,1.5,3,1571705
Jarrod Uthoff,PF,9,0,12.8,2.4,1,0.2,0.4,0.3,4.4,129920
Jason Smith,C,74,3,14.4,3.5,0.5,0.3,0.7,0.8,5.7,5000000
Jason Terry,SG,74,0,18.4,1.4,1.3,0.6,0.3,0.5,4.1,1551659
JaVale McGee,C,77,10,9.6,3.2,0.2,0.2,0.9,0.5,6.1,1403611
Jaylen Brown,SF,78,20,17.2,2.8,0.8,0.4,0.2,0.9,6.6,4743000
Jeff Green,PF,69,11,22.2,3.1,1.2,0.5,0.2,1.1,9.2,15000000
Jeff Teague,PG,82,82,32.4,4,7.8,1.2,0.4,2.6,15.3,8000000
Jeff Withey,C,51,1,8.5,2.4,0.1,0.3,0.6,0.3,2.9,1015696
Jerami Grant,PF,80,4,19.1,2.6,0.6,0.4,1,0.6,5.5,980431
Jeremy Lamb,SG,62,5,18.4,4.3,1.2,0.4,0.4,0.6,9.7,7000000
Jeremy Lin,PG,36,33,24.5,3.8,5.1,1.2,0.4,2.4,14.5,11483254
Jerian Grant,PG,63,28,16.3,1.8,1.9,0.7,0.1,0.7,5.9,1643040
Jerryd Bayless,PG,3,1,23.7,4,4.3,0,0,3,11,9424084
Jimmy Butler,SF,76,75,37,6.2,5.5,1.9,0.4,2.1,23.9,17552209
Joakim Noah,C,46,46,22.1,8.8,2.2,0.7,0.8,1.3,5,17000000
Jodie Meeks,SG,36,10,20.5,2.1,1.3,0.9,0.1,1,9.1,6540000
Joe Harris,SG,52,11,21.9,2.8,1,0.6,0.2,1.1,8.2,980431
Joe Ingles,SF,82,26,24,3.2,2.7,1.2,0.1,1.3,7.1,2100000
Joe Johnson,SF,78,14,23.6,3.1,1.8,0.5,0.2,0.9,9.2,11000000
Joel Anthony,C,19,0,6.4,1.6,0.2,0.1,0.3,0.2,1.3,663810
Joel Bolomboy,PF,12,0,4.4,1.4,0.2,0.1,0.2,0.2,1.8,600000
Joel Embiid,C,31,31,25.4,7.8,2.1,0.9,2.5,3.8,20.2,4826160
Joffrey Lauvergne,PF-C,70,1,14,3.6,1,0.4,0.1,0.8,5.4,1709719
John Henson,C,58,39,19.4,5.1,1,0.5,1.3,0.9,6.8,12267606
John Jenkins,SG,4,0,3.3,0.3,0.3,0,0,0,1.8,1050961
John Wall,PG,78,78,36.4,4.2,10.7,2,0.6,4.1,23.1,15756438
Johnny O'Bryant,PF,11,0,7.3,1.7,0.5,0,0.1,0.5,3.5,392169
Jon Leuer,PF,75,34,25.9,5.4,1.5,0.4,0.3,0.9,10.2,10991957
Jonas Jerebko,PF,78,6,15.8,3.5,0.9,0.3,0.2,0.5,3.8,5000000
Jonathan Gibson,PG,17,0,13.6,1.3,1.5,0.5,0,1.2,6.2,671346
Jonathon Simmons,SG,78,8,17.8,2.1,1.6,0.6,0.3,1,6.2,874636
Jordan Clarkson,SG,82,19,29.2,3,2.6,1.1,0.1,2,14.7,12500000
Jordan Crawford,SG,19,0,23.3,1.8,3,0.6,0.1,1.3,14.1,234920
Jordan Farmar,PG,2,0,17.5,1.5,4.5,1,0,1.5,6,82976
Jordan Hill,C,7,0,6.7,2,0,0.1,0,0.6,1.7,4000000
Jordan McRae,SG,37,4,10.4,1.1,0.5,0.2,0.2,0.4,4.4,874636
Jordan Mickey,PF,25,1,5.6,1.4,0.3,0.1,0.2,0.4,1.5,1223653
Josh Huestis,PF,2,0,15.5,4.5,1.5,0,1.5,0,7,1191480
Josh McRoberts,PF,22,14,17.3,3.4,2.3,0.5,0.2,1,4.9,5782450
Josh Richardson,SG,53,34,30.5,3.2,2.6,1.1,0.7,1.2,10.2,874636
Jrue Holiday,PG,67,61,32.7,3.9,7.3,1.5,0.7,2.9,15.4,11000000
Julius Randle,PF,74,73,28.8,8.6,3.6,0.7,0.5,2.3,13.2,3267120
Justin Anderson,SF,75,10,16.4,3.3,0.9,0.5,0.3,0.9,7.1,1514160
Justin Hamilton,C,64,7,18.4,4.1,0.9,0.5,0.7,0.7,6.9,3000000
Justin Holiday,SG,82,4,20,2.7,1.2,0.8,0.4,0.8,7.7,1015696
Justise Winslow,SF,18,15,34.7,5.2,3.7,1.4,0.3,1.8,10.9,2593440
Karl-Anthony Towns,C,82,82,37,12.3,2.7,0.7,1.3,2.6,25.1,5960160
Kawhi Leonard,SF,74,74,33.4,5.8,3.5,1.8,0.7,2.1,25.5,17638063
Kay Felder,PG,42,0,9.2,1,1.4,0.4,0.2,0.7,4,543471
Kelly Olynyk,C,75,6,20.5,4.8,2,0.6,0.4,1.3,9,3094013
Kemba Walker,PG,79,79,34.7,3.9,5.5,1.1,0.3,2.1,23.2,12000000
Kenneth Faried,PF,61,34,21.2,7.6,0.9,0.7,0.7,1,9.6,12078652
Kent Bazemore,SF,73,64,26.9,3.2,2.4,1.2,0.7,1.7,11,15730337
Kentavious Caldwell-Pope,SG,76,75,33.3,3.3,2.5,1.2,0.2,1.1,13.8,3678319
Kevin Durant,PF,62,62,33.4,8.3,4.8,1.1,1.6,2.2,25.1,26540100
Kevin Love,PF,60,60,31.4,11.1,1.9,0.9,0.4,2,19,21165675
Kevon Looney,C,53,4,8.4,2.3,0.5,0.3,0.3,0.3,2.5,1182840
Khris Middleton,SF,29,23,30.7,4.2,3.4,1.4,0.2,2.2,14.7,15200000
Klay Thompson,SG,78,78,34,3.7,2.1,0.8,0.5,1.6,22.3,16663575
Kosta Koufos,C,71,62,20,5.7,0.7,0.5,0.7,0.9,6.6,8046500
Kris Dunn,PG,78,7,17.1,2.1,2.4,1,0.5,1.1,3.8,3872520
Kris Humphries,PF,56,4,12.3,3.7,0.5,0.3,0.4,0.5,4.6,8630000
Kyle Anderson,SF,72,14,14.2,2.9,1.3,0.7,0.4,0.5,3.4,1192080
Kyle Korver,SG,67,22,26.2,2.8,1.6,0.5,0.3,1,10.1,5239437
Kyle Lowry,PG,60,60,37.4,4.8,7,1.5,0.3,2.9,22.4,12000000
Kyle O'Quinn,C,79,8,15.6,5.6,1.5,0.5,1.3,1,6.3,3918750
Kyle Singler,SF,32,2,12,1.5,0.3,0.2,0.2,0.3,2.8,4837500
Kyle Wiltjer,PF,14,0,3.1,0.7,0.1,0.2,0.1,0.4,0.9,543471
Kyrie Irving,PG,72,72,35.1,3.2,5.8,1.2,0.3,2.5,25.2,17638063
Lamar Patterson,SG,5,0,8,1.4,1.2,0.2,0,0.8,1.8,242963
LaMarcus Aldridge,PF,72,72,32.4,7.3,1.9,0.6,1.2,1.4,17.3,20575005
Lance Stephenson,SG,18,0,20.1,2.9,3.3,0.3,0.2,1.4,6.8,5371672
Lance Thomas,PF,46,15,21,3.1,0.8,0.5,0.1,0.5,6,6191000
Langston Galloway,PG,74,2,20.2,2.1,1.3,0.6,0.1,0.6,7.9,5200000
Larry Sanders,C,5,0,2.6,0.8,0,0.2,0.2,0.4,0.8,5207722
Lavoy Allen,PF,61,5,14.3,3.6,0.9,0.3,0.4,0.5,2.9,3500000
Leandro Barbosa,SG,67,0,14.4,1.6,1.2,0.5,0.1,0.7,6.3,4000000
LeBron James,SF,74,74,37.8,8.6,8.7,1.2,0.6,4.1,26.4,30963450
Luc Mbah a Moute,SF,80,76,22.3,2.1,0.5,1,0.4,0.6,6.1,2203000
Lucas Nogueira,C,57,6,19.1,4.3,0.7,0.9,1.6,0.8,4.4,1921320
Luis Scola,PF,36,1,12.8,3.9,1,0.4,0.1,0.9,5.1,5000000
Luke Babbitt,SF,68,55,15.7,2.1,0.5,0.3,0.2,0.4,4.8,1227286
Luol Deng,SF,56,49,26.5,5.3,1.3,0.9,0.4,0.8,7.6,18000000
Malachi Richardson,SG,22,0,9,1,0.5,0.2,0,0.4,3.6,1439880
Malcolm Brogdon,SG,75,28,26.4,2.8,4.2,1.1,0.2,1.5,10.2,875000
Malcolm Delaney,PG,73,2,17.1,1.7,2.6,0.5,0,1.3,5.4,2500000
Malik Beasley,SG,22,1,7.5,0.8,0.5,0.3,0,0.4,3.8,1627320
Manny Harris,SG,4,0,6.3,2.3,0.5,0,0,0.5,2,119493
Marc Gasol,C,74,74,34.2,6.3,4.6,0.9,1.3,2.2,19.5,21165675
Marcelo Huertas,PG,23,1,10.3,1,2.3,0.4,0.1,0.8,2.7,1500000
Marcin Gortat,C,82,82,31.2,10.4,1.5,0.5,0.7,1.5,10.8,12000000
Marco Belinelli,SG,74,0,24,2.4,2,0.6,0.1,0.9,10.5,6333333
Marcus Georges-Hunt,SG,5,0,9.6,1.8,0.6,0.2,0,0.4,2.8,88936
Marcus Morris,SF,79,79,32.5,4.6,2,0.7,0.3,1.1,14,4625000
Marcus Smart,SG,79,24,30.4,3.9,4.6,1.6,0.4,2,10.6,3578880
Marcus Thornton,SG,33,1,17.4,2.3,1.2,0.6,0.1,0.8,6.6,1315448
Mario Hezonja,SF,65,2,14.8,2.2,1,0.5,0.2,0.9,4.9,3909840
Markieff Morris,PF,76,76,31.2,6.5,1.7,1.1,0.6,1.7,14,7400000
Marquese Chriss,PF,82,75,21.3,4.2,0.7,0.8,0.9,1.3,9.2,2941440
Marreese Speights,C,82,2,15.7,4.5,0.8,0.3,0.5,0.8,8.7,1403611
Marshall Plumlee,C,21,1,8.1,2.4,0.5,0.2,0.2,0.6,1.9,543471
Marvin Williams,PF,76,76,30.2,6.6,1.4,0.8,0.7,0.8,11.2,12250000
Mason Plumlee,C,81,64,26.5,7.5,3.5,0.9,1.1,1.7,10.4,2328530
Matt Barnes,SF,74,18,24,5.2,2.6,0.6,0.4,1.4,7.1,6508351
Matthew Dellavedova,PG,76,54,26.1,1.9,4.7,0.7,0,1.8,7.6,9607500
Maurice Ndour,PF,32,4,10.3,2,0.3,0.5,0.3,0.4,3.1,543471
Metta World Peace,SF,25,2,6.4,0.8,0.4,0.4,0.1,0.3,2.3,1551659
Meyers Leonard,PF,74,12,16.5,3.2,1,0.2,0.4,0.5,5.4,9213484
Michael Beasley,PF,56,6,16.7,3.4,0.9,0.5,0.5,1.2,9.4,1403611
Michael Carter-Williams,PG,45,19,18.8,3.4,2.5,0.8,0.5,1.5,6.6,3183526
Michael Gbinije,SG,9,0,3.6,0.3,0.2,0,0,0,0.4,650000
Michael Kidd-Gilchrist,SF,81,81,29,7,1.4,1,1,0.7,9.2,13000000
Mike Conley,PG,69,68,33.2,3.5,6.3,1.3,0.3,2.3,20.5,26540100
Mike Dunleavy,SF,53,2,15.9,2.2,0.9,0.3,0.1,0.5,5.2,4837500
Mike Miller,SF,20,0,7.6,1.9,1.1,0.1,0,0.7,1.4,3500000
Mike Muscala,C,70,3,17.7,3.4,1.4,0.4,0.6,0.8,6.2,1015696
Mike Scott,PF,18,0,10.8,2.1,0.9,0.2,0.2,0.4,2.5,3333333
Mike Tobey,C,2,0,12.5,1.5,0.5,0,0,0.5,1,138937
Miles Plumlee,C,45,12,10.8,2.1,0.5,0.4,0.3,0.7,2.5,12400000
Mindaugas Kuzminskas,SF,68,5,14.9,1.9,1,0.4,0.2,0.8,6.3,2898000
Monta Ellis,SG,74,33,27,2.8,3.2,1.1,0.4,1.8,8.5,10763500
Montrezl Harrell,C,58,14,18.3,3.8,1.1,0.3,0.7,0.8,9.1,1045000
Myles Turner,C,81,81,31.4,7.3,1.3,0.9,2.1,1.3,14.5,2380440
Nemanja Bjelica,PF,65,1,18.3,3.8,1.2,0.6,0.3,0.9,6.2,3800000
Nenê,C,67,8,17.9,4.2,1,0.8,0.6,1.1,9.1,2898000
Nerlens Noel,C,51,19,20.5,5.8,1,1.3,1,1,8.7,4384490
Nick Collison,PF,20,0,6.4,1.6,0.6,0.1,0.1,0.2,1.7,3750000
Nick Young,SG,60,60,25.9,2.3,1,0.6,0.2,0.6,13.2,5443918
