Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Aaron Brooks,PG,65,0,13.8,1.1,1.9,0.4,0.1,1,5,2700000
Aaron Gordon,SF,80,72,28.7,5.1,1.9,0.8,0.5,1.1,12.7,4351320
Aaron Harrison,SG,5,0,3.4,0.6,0.6,0,0,0,0.2,365289
Adreian Payne,PF,18,0,7.5,1.8,0.4,0.4,0.4,0.4,3.5,2022240
Al Horford,C,68,68,32.3,6.8,5,0.8,1.3,1.7,14,26540100
Al Jefferson,C,66,1,14.1,4.2,0.9,0.3,0.2,0.5,8.1,10230179
Alan Anderson,SF,30,0,10.3,0.8,0.4,0.1,0,0.2,2.9,1315448
Alan Williams,C,47,0,15.1,6.2,0.5,0.6,0.7,0.8,7.4,874636
Alec Burks,SG,42,0,15.5,2.9,0.7,0.4,0.1,0.8,6.7,9904495
Alex Len,C,77,34,20.3,6.6,0.6,0.5,1.3,1.3,8,4823621
Alex Poythress,PF,6,1,26.2,4.8,0.8,0.5,0.3,0.5,10.7,73743
Al-Farouq Aminu,PF,61,25,29.1,7.4,1.6,1,0.7,1.5,8.7,7680965
Allen Crabbe,SG,79,7,28.5,2.9,1.2,0.7,0.3,0.8,10.7,18500000
Alonzo Gee,SF,13,0,6.8,1.2,0.5,0.4,0.1,0.3,0.8,2255408
Amir Johnson,PF,80,77,20.1,4.6,1.8,0.6,0.8,1,6.5,12000000
Andre Drummond,C,81,81,29.7,13.8,1.1,1.5,1.1,1.9,13.6,22116750
Andre Iguodala,SF,76,0,26.3,4,3.4,1,0.5,0.8,7.6,11131368
Andre Roberson,SF,79,79,30.1,5.1,1,1.2,1,0.6,6.6,2183072
Andrew Bogut,C,27,21,21.6,8.1,1.8,0.5,0.9,1.6,2.9,11410378
Andrew Harrison,PG,72,18,20.5,1.9,2.8,0.7,0.3,1.2,5.9,945000
Andrew Nicholson,PF,38,0,9,1.6,0.3,0.4,0.2,0.4,2.6,6088993
Andrew Wiggins,SF,82,82,37.2,4,2.3,1,0.4,2.3,23.6,6006600
Anthony Bennett,PF,23,1,11.5,3.4,0.5,0.2,0.1,0.5,5,1015696
Anthony Brown,SF,11,0,14.5,3,0.7,0.5,0.1,0.5,3.9,1023838
Anthony Davis,C,75,75,36.1,11.8,2.1,1.3,2.2,2.4,28,22116750
Anthony Morrow,SG,49,7,14.6,0.6,0.5,0.5,0,0.1,5.5,3488000
Anthony Tolliver,PF,65,9,22.7,3.6,1.2,0.5,0.3,0.9,7.1,8000000
Archie Goodwin,SG,15,0,14.3,1.9,1.6,0.3,0.3,0.9,7.3,2350999
Arinze Onuaku,C,8,0,3.5,0.8,0.3,0,0.1,0.3,0.5,426775
Aron Baynes,C,75,2,15.5,4.4,0.4,0.2,0.5,0.7,4.9,6500000
Arron Afflalo,SG,61,45,25.9,2,1.3,0.3,0.1,0.7,8.4,12500000
Austin Rivers,SG,74,29,27.8,2.2,2.8,0.6,0.1,1.6,12,11000000
Avery Bradley,SG,55,55,33.4,6.1,2.2,1.2,0.2,1.6,16.3,8269663
Axel Toupane,SF,4,0,11.8,0.3,0,0.3,0.3,0,2.8,977534
Ben Bentil,PF,3,0,3.3,0.7,0,0,0,0.3,0,281968
Ben McLemore,SG,61,26,19.3,2.1,0.8,0.5,0.1,1,8.1,4008882
Beno Udrih,PG,39,0,14.4,1.5,3.4,0.3,0,0.9,5.8,980431
Bismack Biyombo,C,81,27,22.1,7,0.9,0.3,1.1,1.2,6,17000000
Blake Griffin,PF,61,61,34,8.1,4.9,0.9,0.4,2.3,21.6,20093064
Bobby Brown,PG,25,0,4.9,0.2,0.6,0,0,0.2,2.5,940070
Bobby Portis,PF,64,13,15.6,4.6,0.5,0.3,0.2,0.6,6.8,1404600
Boris Diaw,PF,73,33,17.6,2.2,2.3,0.2,0.1,1.2,4.6,7000000
Bradley Beal,SG,77,77,34.9,3.1,3.5,1.1,0.3,2,23.1,22116750
Brandan Wright,PF,28,5,16,2.8,0.5,0.4,0.7,0.4,6.8,5709880
Brandon Bass,PF,52,0,11.1,2.5,0.4,0.3,0.2,0.6,5.6,1551659
Brandon Ingram,SF,79,40,28.8,4,2.1,0.6,0.5,1.5,9.4,5281680
Brandon Jennings,PG,81,13,22.2,2.4,4.9,0.9,0,1.6,7.1,5587318
Brandon Knight,SG,54,5,21.1,2.2,2.4,0.5,0.1,1.6,11,12606250
Brandon Rush,SG,47,33,21.9,2.1,1,0.5,0.5,0.6,4.2,3500000
Brian Roberts,PG,41,2,10.1,1,1.3,0.2,0,0.6,3.5,1050961
Briante Weber,PG,20,0,10.3,1.3,1.1,0.6,0.1,0.4,3.1,623447
Brice Johnson,PF,3,0,3,1,0.3,0.7,0.3,0.3,1.3,1273920
Brook Lopez,C,75,75,29.6,5.4,2.3,0.5,1.7,2.5,20.5,21165675
Bruno Caboclo,SF,9,0,4.4,1.1,0.4,0.2,0.1,0.2,1.6,1589640
Bryn Forbes,SG,36,0,7.9,0.6,0.6,0,0,0.3,2.6,543471
Buddy Hield,SG,82,55,23,3.3,1.5,0.5,0.1,1.2,10.6,3517200
Cameron Payne,PG,31,0,14.9,1.5,1.8,0.5,0.1,0.9,5.2,2112480
Caris LeVert,SF,57,26,21.7,3.3,1.9,0.9,0.1,1,8.2,1562280
Carmelo Anthony,SF,74,74,34.3,5.9,2.9,0.8,0.5,2.1,22.4,24559380
Chandler Parsons,SF,34,34,19.9,2.5,1.6,0.6,0.1,0.7,6.2,22116750
Channing Frye,C,74,15,18.9,3.9,0.6,0.4,0.5,0.7,9.1,7806971
Chasson Randle,PG,26,0,11.5,1.2,1.3,0.3,0.1,0.7,5.3,541170
Cheick Diallo,PF,17,0,11.7,4.3,0.2,0.2,0.4,0.4,5.1,543471
Chinanu Onuaku,C,5,1,10.4,2,0.6,0.6,0.2,0.8,2.8,543471
Chris Andersen,C,12,0,9.5,2.6,0.4,0.4,0.6,0.4,2.3,1551659
Chris McCullough,PF,16,0,5,1.2,0.1,0.1,0.1,0.2,2.3,1191480
Chris Paul,PG,61,61,31.5,5,9.2,2,0.1,2.4,18.1,22868827
Christian Wood,PF,13,0,8.2,2.2,0.2,0.2,0.5,0.5,2.7,874636
CJ McCollum,SG,80,80,35,3.6,3.6,0.9,0.5,2.2,23,3219579
Clint Capela,C,65,59,23.9,8.1,1,0.5,1.2,1.3,12.6,1296240
Cody Zeller,C,62,58,27.8,6.5,1.6,1,0.9,1,10.3,5318313
Cole Aldrich,C,62,0,8.6,2.5,0.4,0.4,0.4,0.3,1.7,7643979
Corey Brewer,SF,82,11,15.6,2,1.2,0.7,0.2,0.7,4.5,7612172
Cory Joseph,PG,80,22,25,2.9,3.3,0.8,0.2,1.4,9.3,7315000
Courtney Lee,SG,77,74,31.9,3.4,2.3,1.1,0.3,0.9,10.8,11242000
Dahntay Jones,SF,1,0,12,2,1,0,0,1,9,24022
Damian Jones,C,10,0,8.5,2.3,0,0.1,0.4,0.6,1.9,1171560
Damian Lillard,PG,75,75,35.9,4.9,5.9,0.9,0.3,2.6,27,24328425
D'Angelo Russell,PG,63,60,28.7,3.5,4.8,1.4,0.3,2.8,15.6,5332800
Daniel Ochefu,C,19,0,3.9,1.2,0.2,0.1,0,0.2,1.3,543471
Danilo Gallinari,SF,63,63,33.9,5.2,2.1,0.6,0.2,1.3,18.2,15050000
Danny Green,SG,68,68,26.6,3.3,1.8,1,0.8,1.1,7.3,10000000
Dante Cunningham,PF,66,35,25,4.2,0.6,0.6,0.4,0.4,6.6,3000000
Dante Exum,PG,66,26,18.6,2,1.7,0.3,0.2,1.2,6.2,3940320
Danuel House,SG,1,0,1,1,0,0,0,0,0,543471
Darrell Arthur,PF,41,7,15.6,2.7,1,0.5,0.5,0.9,6.4,8070175
Darren Collison,PG,68,64,30.3,2.2,4.6,1,0.1,1.7,13.2,5229454
Darrun Hilliard,SG,39,1,9.8,0.8,0.8,0.3,0.1,0.7,3.3,874636
David Lee,PF,79,10,18.7,5.6,1.6,0.4,0.5,1,7.3,1551659
David Nwaba,SG,20,2,19.9,3.2,0.7,0.7,0.4,0.6,6,73528
David West,C,68,0,12.6,3,2.2,0.6,0.7,1.1,4.6,1551659
DeAndre Jordan,C,81,81,31.7,13.8,1.2,0.6,1.7,1.4,12.7,21165675
DeAndre Liggins,SG,62,19,12.5,1.7,0.9,0.8,0.2,0.7,2.5,1015695
Dejounte Murray,PG,38,8,8.5,1.1,1.3,0.2,0.2,1,3.4,1180080
Delon Wright,PG,27,0,16.5,1.8,2.1,1,0.4,0.9,5.6,1577280
DeMar DeRozan,SG,74,74,35.4,5.2,3.9,1.1,0.2,2.4,27.3,26540100
DeMarcus Cousins,C,72,72,34.2,11,4.6,1.4,1.3,3.7,27,15756438
DeMarre Carroll,SF,72,72,26.1,3.8,1,1.1,0.4,0.8,8.9,14200000
Demetrius Jackson,PG,5,0,3.4,0.8,0.6,0,0,0,2,1450000
Denzel Valentine,SG,57,0,17.1,2.6,1.1,0.5,0.1,0.9,5.1,2092200
Deron Williams,PG,64,44,25.9,2.3,5.6,0.5,0.1,2.2,11,14885520
Derrick Favors,PF,50,39,23.7,6.1,1.1,0.9,0.8,1.2,9.5,11050000
Derrick Rose,PG,64,64,32.5,3.8,4.4,0.7,0.3,2.3,18,21323252
Derrick Williams,PF,50,11,16.1,2.6,0.6,0.3,0.1,0.6,6.1,5020145
Devin Booker,SG,78,78,35,3.2,3.4,0.9,0.3,3.1,22.1,2223600
Devin Harris,PG,65,0,16.7,2,2.1,0.7,0.1,0.9,6.7,4227996
Dewayne Dedmon,C,76,37,17.5,6.5,0.6,0.5,0.8,0.8,5.1,2898000
Deyonta Davis,C,36,0,6.6,1.7,0.1,0.1,0.5,0.2,1.6,1369229
Diamond Stone,C,7,0,3.4,0.9,0,0,0.1,0.3,1.4,543471
Dion Waiters,SG,46,43,30.1,3.3,4.3,0.9,0.4,2.2,15.8,2898000
Dirk Nowitzki,PF,54,54,26.4,6.5,1.5,0.6,0.7,0.9,14.2,25000000
Domantas Sabonis,PF,81,66,20.1,3.6,1,0.5,0.4,1,5.9,2440200
Dorian Finney-Smith,PF,81,35,20.3,2.7,0.8,0.6,0.3,0.6,4.3,543471
Doug McDermott,SF,66,5,22.8,2.7,0.9,0.2,0.1,0.6,9,2483040
Dragan Bender,PF,43,0,13.3,2.4,0.5,0.2,0.5,0.7,3.4,4276320
Draymond Green,PF,76,76,32.5,7.9,7,2,1.4,2.4,10.2,15330435
Dwight Howard,C,74,74,29.7,12.7,1.4,0.9,1.2,2.3,13.5,23500000
Dwight Powell,C,77,3,17.3,4,0.6,0.8,0.5,0.4,6.7,8375000
Dwyane Wade,SG,60,59,29.9,4.5,3.8,1.4,0.7,2.3,18.3,23200000
