Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Steven Adams,C,63,63,26.7,9.3,2.3,0.8,1.1,1.5,10.9,25842697
Bam Adebayo,PF,72,72,33.6,10.2,5.1,1.1,1.3,2.8,15.9,3454080
LaMarcus Aldridge,C,53,53,33.1,7.4,2.4,0.7,1.6,1.4,18.9,26000000
Kyle Alexander,C,2,0,6.5,1.5,0,0,0,0.5,1,79568
Nickeil Alexander-Walker,SG,47,1,12.6,1.8,1.9,0.4,0.2,1.1,5.7,2964840
Grayson Allen,SG,38,0,18.9,2.2,1.4,0.3,0.1,0.9,8.7,2429400
Jarrett Allen,C,70,64,26.5,9.6,1.6,0.6,1.3,1.1,11.1,2376840
Al-Farouq Aminu,PF,18,2,21.1,4.8,1.2,1,0.4,0.9,4.3,9258000
Kyle Anderson,SF,67,28,19.9,4.3,2.4,0.8,0.6,1,5.8,9073050
Giannis Antetokounmpo,PF,63,63,30.4,13.6,5.6,1,1,3.7,29.5,25842697
Kostas Antetokounmpo,PF,5,0,4,0.6,0.4,0,0,0.2,1.4,79568
Thanasis Antetokounmpo,SF,20,2,6.5,1.2,0.8,0.4,0.1,0.6,2.8,1445697
Carmelo Anthony,PF,58,58,32.8,6.3,1.5,0.8,0.5,1.7,15.4,2159029
OG Anunoby,SF,69,68,29.9,5.3,1.6,1.4,0.7,1.1,10.6,2281800
Ryan Arcidiacono,PG,58,4,16,1.9,1.7,0.5,0.1,0.6,4.5,3000000
Trevor Ariza,SF,53,21,28.2,4.6,1.7,1.3,0.3,1.1,8,12200000
Deandre Ayton,C,38,32,32.5,11.5,1.9,0.7,1.5,2.1,18.2,9562920
Dwayne Bacon,SG,39,11,17.6,2.6,1.3,0.6,0.1,0.9,5.7,1618520
Lonzo Ball,PG,63,54,32.1,6.1,7,1.4,0.6,3.1,11.8,8719320
Mo Bamba,C,62,0,14.2,4.9,0.7,0.4,1.4,0.7,5.4,5697600
Harrison Barnes,PF,72,72,34.5,4.9,2.2,0.6,0.2,1.2,14.5,24147727
RJ Barrett,SG,56,55,30.4,5,2.6,1,0.3,2.2,14.3,7839960
Will Barton,SF,58,58,33,6.3,3.7,1.1,0.5,1.5,15.1,12776786
Keita Bates-Diop,PF-SF,44,0,16.9,2.9,0.7,0.4,0.5,0.4,6.5,1416852
Nicolas Batum,SF,22,3,23,4.5,3,0.8,0.4,1,3.6,25565217
Aron Baynes,C,42,28,22.2,5.6,1.6,0.2,0.5,1.2,11.5,5453280
Kent Bazemore,SF,68,21,24.8,4.3,1.4,1.1,0.6,1.3,8.8,19269663
Darius Bazley,PF,61,9,18.5,4,0.7,0.4,0.7,0.7,5.6,2284800
Bradley Beal,SG,57,57,36,4.2,6.1,1.2,0.4,3.4,30.5,27093018
Malik Beasley,SG,55,14,22,2.7,1.4,0.7,0.1,1,11.2,2731713
Marco Belinelli,SG,57,0,15.5,1.7,1.2,0.2,0,0.3,6.3,5846154
Jordan Bell,C,29,0,8.8,2.8,0.6,0.1,0.3,0.7,3.2,250000
Dragan Bender,PF-C,16,3,17.9,4.6,1.8,0.3,0.6,1.3,6.7,189700
Patrick Beverley,PG,51,50,26.3,5.2,3.6,1.1,0.5,1.3,7.9,12345680
Khem Birch,C,48,24,19.2,4.6,1,0.4,0.5,0.6,4.4,3000000
Goga Bitadze,C,54,2,8.7,2,0.4,0.2,0.7,0.5,3.2,2816760
Bismack Biyombo,C,53,29,19.4,5.8,0.9,0.2,0.9,0.9,7.4,17000000
Nemanja Bjelica,PF,72,67,27.9,6.4,2.8,0.9,0.6,1.4,11.5,6825000
Eric Bledsoe,PG,61,61,27,4.6,5.4,0.9,0.4,2.4,14.9,15625000
Bol Bol,PF,7,0,12.4,2.7,0.9,0.3,0.9,1.4,5.7,79568
Jonah Bolden,C,7,0,6.7,1.3,0,0.4,0.3,0.3,1.4,89846
Jordan Bone,PG,10,0,5.3,0.4,0.8,0.1,0,0.2,1.2,79568
Isaac Bonga,SF,66,49,18.9,3.4,1.2,0.7,0.3,0.9,5,1416852
