Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Karl-Anthony Towns,C,50,50,33.8,10.6,4.5,0.8,1.1,3.2,24.8,"29,430,000"
Kawhi Leonard,SF,52,52,34.1,6.5,5.2,1.6,0.4,2,24.8,"34,379,100"
Kelan Martin,SF,35,0,9.2,2.2,0.5,0.3,0.3,0.5,4.5,"1,445,697"
Keldon Johnson,SF,69,67,28.5,6,1.8,0.6,0.3,1.1,12.8,"2,048,040"
Kelly Olynyk,C-PF,70,62,28.5,7,2.9,1.1,0.6,1.8,13.5,"12,198,243"
Kelly Oubre Jr.,SF,55,50,30.7,6,1.3,1,0.8,1.3,15.4,"14,375,000"
Kemba Walker,PG,43,43,31.8,4,4.9,1.1,0.3,2,19.3,"34,379,100"
Kendrick Nunn,PG,56,44,29.5,3.2,2.6,0.9,0.3,1.4,14.6,"1,663,861"
Kenrich Williams,PF,66,13,21.6,4.1,2.3,0.8,0.3,1.2,8,"2,000,000"
Kent Bazemore,SF,67,18,19.9,3.4,1.6,1,0.5,1.2,7.2,"2,320,044"
Kentavious Caldwell-Pope,SG,67,67,28.4,2.7,1.9,0.9,0.4,1,9.7,"12,073,020"
Kenyon Martin Jr.,SF,45,8,23.7,5.4,1.1,0.7,0.9,0.8,9.3,"898,310"
Kevin Durant,PF,35,32,33.1,7.1,5.6,0.7,1.3,3.4,26.9,"39,058,950"
Kevin Huerter,SG,69,49,30.8,3.3,3.5,1.2,0.3,1.1,11.9,"2,761,920"
Kevin Knox,SF,42,0,11,1.5,0.5,0.3,0.1,0.4,3.9,"4,588,680"
Kevin Love,PF,25,25,24.9,7.4,2.5,0.6,0.1,1.5,12.2,"31,300,000"
Kevin Porter Jr.,SG,26,23,32.1,3.8,6.3,0.7,0.3,3.5,16.6,"2,033,160"
Kevon Looney,C,61,34,19,5.3,2,0.3,0.4,0.6,4.1,"4,821,429"
Khem Birch,C,67,22,22.8,5.8,1.3,0.7,0.7,0.7,7.2,"3,425,463"
Khris Middleton,SF,68,68,33.4,6,5.4,1.1,0.1,2.6,20.4,"33,051,724"
Khyri Thomas,SG,5,2,30.6,3.6,5,1.8,1.2,1.2,16.4,"744,684"
Killian Hayes,PG,26,18,25.8,2.7,5.3,1,0.4,3.2,6.8,"5,307,120"
Kira Lewis Jr.,PG,54,0,16.7,1.3,2.3,0.7,0.2,0.6,6.4,"3,640,200"
Kris Dunn,PG,4,0,11.3,1.5,0.5,0.5,0.5,0.8,1.3,"4,767,000"
Kristaps Porziņģis,C,43,43,30.9,8.9,1.6,0.5,1.3,1.2,20.1,"29,467,800"
Kyle Anderson,PF,69,69,27.3,5.7,3.6,1.2,0.8,1.2,12.4,"9,505,100"
Kyle Kuzma,SF,68,32,28.7,6.1,1.9,0.5,0.6,1.7,12.9,"3,562,178"
Kyle Lowry,PG,46,46,34.8,5.4,7.3,1,0.3,2.7,17.2,"30,000,000"
Kyrie Irving,PG,54,54,34.9,4.8,6,1.4,0.7,2.4,26.9,"33,329,100"
KZ Okpala,PF,37,9,12.1,1.8,0.5,0.3,0.3,0.4,2.5,"1,517,981"
LaMarcus Aldridge,C,26,23,25.9,4.5,1.9,0.4,1.1,1,13.5,"19,078,340"
LaMelo Ball,PG,51,31,28.8,5.9,6.1,1.6,0.4,2.8,15.7,"7,839,960"
Landry Shamet,SG,61,12,23,1.8,1.6,0.5,0.2,0.8,9.3,"2,090,040"
Langston Galloway,SG,40,0,11,1.1,0.7,0.2,0,0.3,4.8,"2,028,594"
Larry Nance Jr.,PF,35,27,31.2,6.7,3.1,1.7,0.5,1.6,9.3,"11,709,091"
Lauri Markkanen,PF,51,26,25.8,5.3,0.9,0.5,0.3,1,13.6,"6,731,508"
LeBron James,PG,45,45,33.4,7.7,7.8,1.1,0.6,3.7,25,"39,219,565"
Lonnie Walker,SG,60,38,25.4,2.6,1.7,0.5,0.3,1.1,11.2,"2,892,000"
Lonzo Ball,PG,55,55,31.8,4.8,5.7,1.5,0.6,2.2,14.6,"11,003,782"
Lou Williams,PG,66,4,21.6,2.1,3.4,0.7,0.1,1.6,11.3,"8,000,000"
Luguentz Dort,SG,52,52,29.7,3.6,1.7,0.9,0.4,1.5,14,"1,517,981"
Luka Dončić,PG,66,66,34.3,8,8.6,1,0.5,4.3,27.7,"8,049,360"
Luka Šamanić,PF,33,4,9.3,2.1,0.5,0.2,0.2,0.6,3.7,"2,824,320"
Luke Kennard,SG,63,17,19.6,2.6,1.7,0.4,0.1,0.8,8.3,"5,273,826"
Luke Kornet,C-PF,31,2,11.2,2.2,0.8,0.1,1,0.2,3.4,"2,304,878"
Malachi Flynn,PG,47,14,19.7,2.5,2.9,0.8,0.1,0.9,7.5,"1,950,600"
Malcolm Brogdon,PG,56,56,34.5,5.3,5.9,0.9,0.3,2.1,21.2,"20,700,000"
Malik Beasley,SG,37,36,32.8,4.4,2.4,0.8,0.2,1.6,19.6,"13,325,895"
Malik Monk,SG,42,0,20.9,2.4,2.1,0.5,0.1,1.3,11.7,"5,345,687"
Mamadi Diakite,PF,14,1,10.1,2.4,0.6,0.5,0.4,0.2,3.1,"529,341"
Marc Gasol,C,52,42,19.1,4.1,2.1,0.5,1.1,1,5,"2,564,753"
Marcus Morris,PF,57,29,26.4,4.1,1,0.6,0.3,1,13.4,"14,883,721"
Marcus Smart,PG,48,45,32.9,3.5,5.7,1.5,0.5,2,13.1,"13,446,428"
Markelle Fultz,PG,8,8,26.9,3.1,5.4,1,0.3,2.3,12.9,"12,288,697"
Markieff Morris,PF,61,27,19.7,4.4,1.2,0.4,0.3,0.9,6.7,"2,331,593"
Marquese Chriss,PF,2,0,13.5,6.5,1,0,1,1,6.5,"1,824,003"
Marvin Bagley III,PF,43,42,25.9,7.4,1,0.5,0.5,1.4,14.1,"8,963,640"
Mason Plumlee,C,56,56,26.8,9.3,3.6,0.8,0.9,1.9,10.4,"8,000,000"
Matisse Thybulle,SG,65,8,20,1.9,1,1.6,1.1,0.5,3.9,"2,711,280"
Matt Thomas,SG,45,0,7.2,1,0.4,0.1,0,0.3,3.1,"1,517,981"
Matthew Dellavedova,PG,13,1,17.2,1.8,4.5,0.3,0.1,0.5,2.8,"2,174,318"
Maurice Harkless,PF-SF,37,23,20.9,2.4,1.2,0.8,0.5,0.6,5.2,"3,623,000"
Maxi Kleber,PF,50,40,26.8,5.2,1.4,0.5,0.7,0.6,7.1,"8,250,000"
Meyers Leonard,C,3,2,9.7,2.3,0.7,0,0,0.7,3.3,"9,400,000"
Mfiondu Kabengele,PF,39,0,7.2,1.5,0.4,0.2,0.3,0.4,2.4,"2,075,880"
Michael Carter-Williams,SG,31,25,25.8,4.5,4.2,0.8,0.5,2.2,8.8,"3,000,000"
Michael Porter Jr.,SF,61,54,31.3,7.3,1.1,0.7,0.9,1.3,19,"3,550,800"
